index,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy
1829,3633ffc0-8451-468c-9ad5-b35701a89719,2021-07-10 06:55:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407591,-101.8443364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
1997,7c910487-5278-438c-b026-a4403e86cfd3,2021-07-10 07:00:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940686,-101.8442314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,6
2153,95568cbc-a2a6-45ff-8f12-08b872566c43,2021-07-10 07:05:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405877,-101.8442447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
2304,9ac654c6-a0b1-4184-b6e4-0408232fad2b,2021-07-10 07:10:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406731,-101.8442131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4
2607,9be19c73-027d-4481-b8c7-fbdaf7e6d3de,2021-07-10 07:20:16+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940611,-101.844258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
2759,1eb8fde3-c587-4e63-91e9-221bd79db171,2021-07-10 07:25:16+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940658,-101.8442622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2
2913,58aa3e4b-7a0d-4f02-bed4-92a1d83d5ed6,2021-07-10 07:30:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406567,-101.8442699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
3068,7fe9b07c-af9c-450b-9a7c-c4515835d03f,2021-07-10 07:35:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406539,-101.8442648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3
3232,9ad1ea81-c9bc-4ddb-a289-b8c67287a75b,2021-07-10 07:40:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406441,-101.8443008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
3388,07e40198-111a-4be7-a46c-0558235cf518,2021-07-10 07:45:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406757,-101.8442177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
3543,72017f95-2d13-4af8-ba0a-007dc1fe67b7,2021-07-10 07:50:18+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406496,-101.8442969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5
3706,8c246afd-7695-4d91-8895-9c821b59c870,2021-07-10 07:55:18+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406037,-101.8442493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
3871,77b3d152-f802-4b86-9eeb-b3f0ae39e920,2021-07-10 08:00:19+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406523,-101.8442012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,8
4034,01bfb630-2a79-49a8-b7d0-d4f3c4987bd8,2021-07-10 08:05:19+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406233,-101.8442015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3
4192,c43d669a-0226-4797-9b2c-7c7ee2766809,2021-07-10 08:10:20+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406579,-101.8442344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,11
4347,2a8522d0-b58e-4812-b6ed-fe2595dc4012,2021-07-10 08:15:20+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406408,-101.8442386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,21
4502,bc7a1f9c-0014-4676-9625-a160533d351e,2021-07-10 08:20:20+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406309,-101.8442572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4
4660,997da099-7ca9-4046-ad22-cd8fcb9659b6,2021-07-10 08:25:21+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407264,-101.8441328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,21
4815,874f92bd-6252-46ef-bd33-2e5ccde5aa85,2021-07-10 08:30:21+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406101,-101.8442312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
4978,eb1b5aa9-59a8-494e-8996-068ef46db3c6,2021-07-10 08:35:22+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406423,-101.8442239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3
5139,b26e63e8-5fab-4c09-95e0-a0e27878e524,2021-07-10 08:40:23+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406193,-101.8442526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5
5299,6de4a8cf-15f6-4ad9-a971-920c1f9b271e,2021-07-10 08:45:23+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406259,-101.8442831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,5
5457,34a67dae-3c49-45f1-9487-29a2c2d4f2c5,2021-07-10 08:50:23+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406257,-101.8442791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,6
5618,534c4621-e8af-47bc-bedc-73ce75584dc6,2021-07-10 08:55:24+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406536,-101.8442542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,7
5774,a18934eb-1559-46ed-80f0-6c9e9a46f7d1,2021-07-10 09:00:24+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940639,-101.8442967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,6
5936,972fb068-1c4e-4cd1-b07f-0257e59a3331,2021-07-10 09:05:24+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405938,-101.8443089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,6
6095,66c63780-f71f-4f9d-adc3-52707d69feb1,2021-07-10 09:10:24+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406205,-101.8442626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2
6248,3f3029ee-89a8-47aa-a8d6-466d839d50d9,2021-07-10 09:15:25+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407561,-101.8443339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,19
6404,604d68b6-80fb-4e18-9566-1fd43289ef3f,2021-07-10 09:20:25+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406958,-101.8442137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,26
6719,a7e2405c-6e68-4b23-a27c-97f7dfc6fe0b,2021-07-10 09:30:25+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405416,-101.8441512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,6
6761,5dfd15e8-157b-4bf9-8572-2a9d9f306e4c,2021-07-10 09:31:44+06:00,00007cf2dd1fb4a0,ShockEventExtIndication,43.9403345,-101.8440977,SOUND_REGION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,8,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA
7060,ce7e549a-4712-455b-8316-009925abc89f,2021-07-10 09:40:59+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406789,-101.8442558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,18
7213,02ab4de5-32ed-45c9-bc59-319bbaf6a11f,2021-07-10 09:45:52+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406497,-101.8442678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2
7378,d8ee34f0-c579-4b46-8047-2b22eb8a37e1,2021-07-10 09:50:52+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406582,-101.8442283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3
7549,b2b1daaf-6738-4a09-9017-f0b70918aa0d,2021-07-10 09:55:52+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406322,-101.8442862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
7722,036494f4-991d-4b3a-bb62-a7daa97cbe95,2021-07-10 10:00:53+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406287,-101.8443131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3
7880,9e063d92-a67b-4ed8-b737-be9383efeb01,2021-07-10 10:05:54+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406076,-101.8442558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,2
8030,fc34bd9b-d700-4840-ab17-38d0650e2330,2021-07-10 10:10:55+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406399,-101.8442648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2
8183,0f5b5860-46b2-4e73-a3f7-cd209329b7d8,2021-07-10 10:15:56+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405559,-101.8441173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
8346,304d854a-6d02-4b18-9f56-d44e64649b66,2021-07-10 10:21:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405693,-101.8438232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3
8414,82b5da3e-ace5-419b-92b5-627d1a27fe82,2021-07-10 10:23:39+06:00,00007cf2dd1fb4a0,ShockEventExtIndication,43.9405792,-101.8437922,SOUND_REGION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA
8485,8a17278a-3ced-4c4c-bee3-07538d19755d,2021-07-10 10:25:43+06:00,00007cf2dd1fb4a0,ShockEventExtIndication,43.9406128,-101.843812,SOUND_REGION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,10,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA
8497,e5b6984d-cc21-471b-8a79-62b58a7796cc,2021-07-10 10:26:03+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406157,-101.8438234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,2
8526,91a6c907-e625-4ba1-8799-b77ea105353c,2021-07-10 10:27:17+06:00,00007cf2dd1fb4a0,ShockEventExtIndication,43.9406688,-101.8438031,SOUND_REGION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,7,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA
8660,0fec8691-5d9a-485d-87c8-cd83952fc7d6,2021-07-10 10:30:58+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405839,-101.843869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3
8671,2f7e3814-3722-4afd-a6b9-611cbe54c81d,2021-07-10 10:31:30+06:00,00007cf2dd1fb4a0,ShockEventExtIndication,43.9405544,-101.843806,SOUND_REGION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,12,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA
8810,5f2059e2-94b3-49b2-b4b9-29c306db49bd,2021-07-10 10:35:59+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407435,-101.8441125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4
8959,8478cfb1-034d-42c1-a0eb-82d6520e7973,2021-07-10 10:40:59+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408755,-101.8443028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,6
9113,3bf40db4-1a56-457d-a4c6-f0ee5ac331b5,2021-07-10 10:46:00+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9410032,-101.8445221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,6
9346,365660a8-8270-4a1c-8167-61374a030223,2021-07-10 10:53:38+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9411651,-101.8449529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,26
9564,e996bece-2a6a-4418-9e40-7cc0daafb385,2021-07-10 11:00:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9411246,-101.8451012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,23
9993,8af3ea6f-6099-468a-9872-9963663bc834,2021-07-10 11:14:33+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.941488,-101.8455875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,22
10256,89e6a7e5-1506-40a8-8913-ff5841dcd8c2,2021-07-10 11:23:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9417872,-101.8445212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,15
10420,95075871-5b03-404a-9eba-e1117aee7f6f,2021-07-10 11:28:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.941823,-101.8442479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2
10576,b70625f9-6a9a-40dc-9e69-7d257fb94401,2021-07-10 11:33:14+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9417446,-101.8442547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5
10752,1588fcc8-6cfd-4219-b9b7-d15621492ace,2021-07-10 11:38:14+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9417844,-101.8443843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
10947,fde9c10d-5cd1-4909-8a81-9fd42cb10f34,2021-07-10 11:44:09+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9415515,-101.8446584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,41
11138,99f23a32-9a83-4635-b38c-fdfabde283a9,2021-07-10 11:49:39+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9422937,-101.8450252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,60
11379,7489c7c3-494e-4b43-8886-b5a4d987f519,2021-07-10 11:57:10+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9431333,-101.8459126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,43
11589,49ab46df-511a-4be0-8ce0-f36f075fd743,2021-07-10 12:04:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9432429,-101.8459493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,11
11783,bcd24932-2cfd-4244-9a98-fa401872897d,2021-07-10 12:10:33+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9436946,-101.8465174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,31
12008,be401dcd-c050-4c45-b59c-df62ed9825aa,2021-07-10 12:18:30+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9440313,-101.8472333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,28
12254,502991e1-7cef-4108-b4a2-1a28e4836c40,2021-07-10 12:26:38+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9444331,-101.848014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,44
12437,6205a757-dc1f-4178-b153-40e7367f41b2,2021-07-10 12:33:05+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9448535,-101.8486451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,28
12623,c678961e-33e0-43dc-9c4b-d3b97e3553ed,2021-07-10 12:39:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9454459,-101.849384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,30
12817,d6b9a9f6-9406-444e-b367-29278f807546,2021-07-10 12:46:06+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9456459,-101.8498084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,52
13048,1fede339-08d7-408b-b76d-dd2c8370f0b4,2021-07-10 12:52:59+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9462873,-101.8500366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,34
13261,cc825e98-9259-4d4b-80c9-e4601cf18230,2021-07-10 12:59:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9463017,-101.8502905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,56
